Most negative lemmas,Most positive lemmas
"('hideous', 2.369565217391304)","('savoy', 4.348837209302325)"
"('bleeding', 2.371794871794872)","('captivating', 4.3478260869565215)"
"('inform', 2.372448979591837)","('masterfully', 4.3478260869565215)"
"('dehydration', 2.375)","('frothy', 4.346153846153846)"
"('outrage', 2.3846153846153846)","('demonstration', 4.34375)"
"('loudly', 2.385869565217391)","('luscious', 4.343283582089552)"
"('inappropriately', 2.388888888888889)","('happiness', 4.342105263157895)"
"('decal', 2.388888888888889)","('artistic', 4.341463414634147)"
"('parcel', 2.391304347826087)","('graham', 4.341269841269841)"
"('intelligence', 2.391304347826087)","('ville', 4.339285714285714)"
"('faulty', 2.393939393939394)","('marvelous', 4.337349397590361)"
"('policy', 2.3965014577259476)","('rob', 4.333333333333333)"
"('redeem', 2.3986013986013988)","('genuinely', 4.333333333333333)"
"('swab', 2.4)","('compost', 4.333333333333333)"
"('contraction', 2.4)","('conscientious', 4.333333333333333)"
"('complacent', 2.4)","('incomparable', 4.333333333333333)"
"('erased', 2.4)","('listener', 4.333333333333333)"
"('fooling', 2.4)","('formation', 4.333333333333333)"
"('unforgivable', 2.4)","('hydrate', 4.333333333333333)"
"('unexciting', 2.4)","('omega', 4.333333333333333)"
"('wristlet', 2.4)","('intensity', 4.333333333333333)"
"('tch', 2.4)","('presto', 4.333333333333333)"
"('browning', 2.4)","('ode', 4.333333333333333)"
"('unfairly', 2.4)","('invasion', 4.333333333333333)"
"('robbery', 2.4)","('wonderland', 4.333333333333333)"
"('pumice', 2.4)","('autograph', 4.333333333333333)"
"('runaround', 2.4)","('sourness', 4.333333333333333)"
"('viscous', 2.4)","('martial', 4.333333333333333)"
"('leathery', 2.4)","('sponsor', 4.333333333333333)"
"('nope', 2.400763358778626)","('razz', 4.333333333333333)"
"('yelling', 2.4025641025641025)","('briny', 4.333333333333333)"
"('dissatisfaction', 2.40625)","('onyx', 4.333333333333333)"
"('mildew', 2.4074074074074074)","('clockwork', 4.333333333333333)"
"('profanity', 2.4074074074074074)","('corking', 4.333333333333333)"
"('grime', 2.409090909090909)","('cuttlefish', 4.333333333333333)"
"('miserable', 2.41025641025641)","('kafta', 4.333333333333333)"
"('invisible', 2.411764705882353)","('quartet', 4.333333333333333)"
"('unanswered', 2.411764705882353)","('vas', 4.333333333333333)"
"('unimpressive', 2.4130434782608696)","('resistant', 4.333333333333333)"
"('existent', 2.414285714285714)","('budding', 4.333333333333333)"
"('mediocre', 2.4143365531265886)","('antler', 4.333333333333333)"
"('lumpy', 2.4146341463414633)","('vita', 4.333333333333333)"
"('gristly', 2.4166666666666665)","('overtone', 4.333333333333333)"
"('fatal', 2.4166666666666665)","('playtime', 4.333333333333333)"
"('notification', 2.4166666666666665)","('hemp', 4.333333333333333)"
"('agony', 2.4166666666666665)","('inaugural', 4.333333333333333)"
"('lopsided', 2.4166666666666665)","('notch', 4.332683560753736)"
"('crumpled', 2.4166666666666665)","('grateful', 4.330882352941177)"
"('edible', 2.4166666666666665)","('delightfully', 4.329670329670329)"
"('behavior', 2.4170616113744074)","('hesitation', 4.329608938547486)"
